employee,device,credential,event_time,shift_date,event_source,location,confidence,notes
,"#5 - H PRESSROOM",0172645966,"2026-01-05 22:41:00",2026-01-05,device,,,
,"#5 - H PRESSROOM",0953144462,"2026-01-05 23:11:00",2026-01-05,device,,,
,"#5 - H PRESSROOM",0812721867,"2026-01-05 23:16:00",2026-01-05,device,,,
,"#5 - H PRESSROOM",0110663542,"2026-01-05 23:16:00",2026-01-05,device,,,
,"#5 - H PRESSROOM",0110676325,"2026-01-05 23:20:00",2026-01-05,device,,,
,"#5 - H PRESSROOM",0857396216,"2026-01-05 23:38:00",2026-01-05,device,,,
,"#5 - H PRESSROOM",0555482073,"2026-01-06 01:21:00",2026-01-06,device,,,
,"#5 - H PRESSROOM",0172645967,"2026-01-06 01:34:00",2026-01-06,device,,,
,"#5 - H PRESSROOM",0906298727,"2026-01-06 02:09:00",2026-01-06,device,,,
,"#5 - H PRESSROOM",0953148922,"2026-01-06 02:10:00",2026-01-06,device,,,
,"#5 - H PRESSROOM",0110656690,"2026-01-06 02:10:00",2026-01-06,device,,,
,"#5 - H PRESSROOM",0299990301,"2026-01-06 02:10:00",2026-01-06,device,,,
,"#5 - H PRESSROOM",0110668803,"2026-01-06 06:02:00",2026-01-06,device,,,
,"#5 - H PRESSROOM",0906354095,"2026-01-06 06:03:00",2026-01-06,device,,,
,"#5 - H PRESSROOM",0857397893,"2026-01-06 06:07:00",2026-01-06,device,,,
,"#5 - H PRESSROOM",0110656697,"2026-01-06 06:08:00",2026-01-06,device,,,
,"#5 - H PRESSROOM",0299993868,"2026-01-06 06:27:00",2026-01-06,device,,,
,"#5 - H PRESSROOM",0253516319,"2026-01-06 06:36:00",2026-01-06,device,,,
,"#5 - H PRESSROOM",0110656694,"2026-01-06 06:37:00",2026-01-06,device,,,
,"#5 - H PRESSROOM",0110676331,"2026-01-06 06:37:00",2026-01-06,device,,,
,"#5 - H PRESSROOM",0110656689,"2026-01-06 06:37:00",2026-01-06,device,,,
,"#5 - H PRESSROOM",0110656705,"2026-01-06 06:37:00",2026-01-06,device,,,
